:IngredientName,IngredientType,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,LOAD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,491,492,493,494,495,496,497,498,499,500,373,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
SEQ_Enable,Discrete,SEQ_Enable,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEQ_StepName,Message,SEQ_StepName,"Heating_FAT","PBS_on FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","---","---","---","---","---","---","---","---","---","---","Heating_KAG","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT","PVD3_SiO2_FO","PVD1_Nb2O5_FAT"
SEQ_MaxTime,Analog,SEQ_MaxTime,0,0,393,209,177,150,119,258,100,354,0,0,0,0,76,212,309,458,276,0,0,207,0,0,183,312,0,0,0,0,328,438,0,547,283,0,0,499,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,310,645,0,0,0,361,207,0,0,0,0,0,0,0,0,0,0,0,0
SEQ_StepType,Analog,SEQ_StepType,1,1,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
SEQ_StepTime,Analog,SEQ_StepTime,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEQ_Rounds,Analog,SEQ_Rounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEQ_Values,Analog,SEQ_Values,0,0,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,6,6,1,6,6,1,1,6,6,6,6,1,1,6,1,1,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6
SEQ_QWOT,Analog,SEQ_QWOT,0,0,2.3467,0.7107,1.0579,0.5088,0.7142,0.8767,0.6006,1.2031,2.1574,1.2065,0.8211,2.6488,0.4529,0.7216,1.8453,1.5563,1.646,0.9011,0.7014,0.7052,0.9474,0.2682,1.0918,1.061,2.2568,1.0966,0.8275,0.8476,1.9597,1.4856,1.1097,1.8569,1.6876,0.8772,0.7801,1.6952,1.4469,1.4222,1.5701,1.5833,1.7112,0.6014,1.6195,0.8412,1.9399,1.5928,1.709,1.2609,0,0,0,0,0,0,0,0,0,0,0,1.8519,2.1909,1.4338,1.2863,2.5079,1.2268,1.2336,2.6898,1.1702,1.092,0.8249,0.6473,1.0206,1.1091,2.7511,1.0551,1.2453,2.0215,1.8673
SEQ_Wavelength,Analog,SEQ_Wavelength,400,400,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,500,500,500,500,500,500,500,500,500,500,500,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445
SEQ_BBM_LayerNo,Analog,SEQ_BBM_LayerNo,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,1,1,1,1,1,1,1,1,1,1,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
SEQ_Testslide,Analog,SEQ_Testslide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEQ_MaterialID,Message,SEQ_MaterialID,"----","----","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","----","----","----","----","----","----","----","----","----","----","----","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01","SiO2_HP v02","Nb2O5_HP v01"
